"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Twin Peaks Parts 1&amp;2 linger with me the way all truly great films do",FALSE,0,NA,2017-05-23 12:37:54,FALSE,NA,"866996610450018305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","charlesmj",0,FALSE,FALSE,NA,NA
"2","Hipsters Without Borders Foundation Formed To Teach Inner-City Kids About Twin Peaks https://t.co/9sNHibYzHr",FALSE,0,NA,2017-05-23 12:36:11,FALSE,NA,"866996178721878016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wryan1618",0,FALSE,FALSE,NA,NA
"3","Finally getting round to watching Twin Peaks https://t.co/Icu0euzIGS",FALSE,1,NA,2017-05-23 12:29:25,FALSE,NA,"866994473162747904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fulleramy",0,FALSE,FALSE,NA,NA
"4","RT @flickeringmyth: Twin Peaks Season 3 Episodes 1 &amp; 2 Review https://t.co/1MHryiWS5e https://t.co/HnyQc6ZK5Y",FALSE,0,NA,2017-05-23 12:27:37,FALSE,NA,"866994023998816256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","flickeringmyth",3,TRUE,FALSE,NA,NA
"5","T'as commenc√© la nouvelle saison de Twin peaks ? ‚Äî nooon tjrs pas j'attends dla commencer avec ma maman https://t.co/le6PyNS4R7",FALSE,0,NA,2017-05-23 12:26:41,FALSE,NA,"866993786840379396",NA,"<a href=""https://curiouscat.me"" rel=""nofollow"">Curious Cat</a>","MYVMH",0,FALSE,FALSE,NA,NA
"6","Only 25 years late, but finally caught up with the entirety of Twin Peaks S2. That final episode is the strangest hour of TV I've seen.",FALSE,0,NA,2017-05-23 12:23:10,FALSE,NA,"866992901619888128",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","GaryGreenScreen",0,FALSE,FALSE,NA,NA
"7","3 of the many reasons I love Twin Peaks:
1. @Kyle_MacLachlan
2. @Kyle_MacLachlan
3. @Kyle_MacLachlan",FALSE,0,NA,2017-05-23 12:20:47,FALSE,NA,"866992303902253056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Scotty_GO",0,FALSE,FALSE,NA,NA
"8","I was gonna tweet lots about this but it seems kinda meaningless atm so I'll just say that the new twin peaks is absolutely extraordinary",FALSE,1,NA,2017-05-23 12:20:26,FALSE,NA,"866992212441264128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","inwardseether",0,FALSE,FALSE,NA,NA
"9","My headphones are fucked and keep playing music a while I watch twin peaks 1/2",FALSE,0,NA,2017-05-23 12:15:52,FALSE,NA,"866991064086974465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","legithenryfry",0,FALSE,FALSE,NA,NA
"10","RT @Gavhuds: So glad to see @davidduchovny back in twin peaks Ì†ΩÌ∏Å https://t.co/XF0IqjywSr",FALSE,0,NA,2017-05-23 12:11:37,FALSE,NA,"866989995877445633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rae_noelle",3,TRUE,FALSE,NA,NA
